iter	Passed	Remaining
337	20521	40193
338	20593	40153
339	20654	40093
340	20711	40025
341	20771	39963
342	20833	39905
343	20896	39848
344	20959	39791
345	21019	39731
346	21080	39670
347	21137	39603
348	21197	39539
349	21256	39476
350	21315	39412
351	21376	39351
352	21440	39296
353	21501	39236
354	21561	39175
355	21621	39112
356	21685	39058
357	21741	38988
358	21800	38925
359	21862	38867
360	21924	38808
361	21983	38744
362	22042	38680
363	22101	38616
364	22161	38555
365	22227	38503
366	22288	38442
367	22348	38380
368	22407	38317
369	22470	38260
370	22532	38202
371	22590	38137
372	22650	38074
373	22706	38005
374	22765	37943
375	22827	37883
376	22889	37825
377	22949	37763
378	23012	37706
379	23072	37643
380	23130	37578
381	23193	37522
382	23252	37458
383	23309	37393
384	23369	37330
385	23435	37278
386	23495	37216
387	23554	37153
388	23615	37093
389	23674	37029
390	23735	36969
391	23796	36908
392	23857	36849
393	23920	36790
394	23978	36726
395	24037	36663
396	24095	36597
397	24155	36536
398	24216	36476
399	24277	36415
